CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 
Done!2.51 s

Number of sentences: 9450
Number of features:  1017940
Number of thread(s): 56
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.96873 serr=1.00000 act=1017940 obj=538290.99475 diff=1.00000
iter=1 terr=0.19540 serr=0.74074 act=1017940 obj=309795.71948 diff=0.42448
iter=2 terr=0.19540 serr=0.74074 act=1017940 obj=396319.89764 diff=0.27929
iter=3 terr=0.19540 serr=0.74074 act=1017940 obj=196348.98593 diff=0.50457
iter=4 terr=0.19540 serr=0.74074 act=1017940 obj=181926.71046 diff=0.07345
iter=5 terr=0.19540 serr=0.74074 act=1017940 obj=170513.56316 diff=0.06273
iter=6 terr=0.19540 serr=0.74074 act=1017940 obj=166185.06917 diff=0.02539
iter=7 terr=0.19540 serr=0.74074 act=1017940 obj=154852.34590 diff=0.06819
iter=8 terr=0.19540 serr=0.74074 act=1017940 obj=138959.31471 diff=0.10263
iter=9 terr=0.19540 serr=0.74074 act=1017940 obj=129721.66843 diff=0.06648
iter=10 terr=0.19540 serr=0.74074 act=1017940 obj=124627.94631 diff=0.03927
iter=11 terr=0.19540 serr=0.74074 act=1017940 obj=122436.99147 diff=0.01758
iter=12 terr=0.19540 serr=0.74074 act=1017940 obj=120132.22686 diff=0.01882
iter=13 terr=0.19540 serr=0.74074 act=1017940 obj=117200.15435 diff=0.02441
iter=14 terr=0.19540 serr=0.74074 act=1017940 obj=113155.46248 diff=0.03451
iter=15 terr=0.19542 serr=0.74074 act=1017940 obj=93176.09652 diff=0.17657
iter=16 terr=0.19543 serr=0.74095 act=1017940 obj=88901.74672 diff=0.04587
iter=17 terr=0.55680 serr=0.80074 act=1017940 obj=94366.57763 diff=0.06147
iter=18 terr=0.19581 serr=0.74307 act=1017940 obj=86168.36258 diff=0.08688
iter=19 terr=0.19599 serr=0.74635 act=1017940 obj=83860.13958 diff=0.02679
iter=20 terr=0.20457 serr=0.74847 act=1017940 obj=84855.26561 diff=0.01187
iter=21 terr=0.19557 serr=0.74624 act=1017940 obj=81935.48252 diff=0.03441
iter=22 terr=0.19632 serr=0.75249 act=1017940 obj=79250.95076 diff=0.03276
iter=23 terr=0.19968 serr=0.75937 act=1017940 obj=76622.03334 diff=0.03317
iter=24 terr=0.19650 serr=0.74709 act=1017940 obj=75713.08239 diff=0.01186
iter=25 terr=0.19582 serr=0.74466 act=1017940 obj=75421.48168 diff=0.00385
iter=26 terr=0.19494 serr=0.74212 act=1017940 obj=74783.41787 diff=0.00846
iter=27 terr=0.19530 serr=0.74106 act=1017940 obj=75311.06292 diff=0.00706
iter=28 terr=0.19492 serr=0.74138 act=1017940 obj=74547.55517 diff=0.01014
iter=29 terr=0.19520 serr=0.74106 act=1017940 obj=73962.45499 diff=0.00785
iter=30 terr=0.19493 serr=0.74042 act=1017940 obj=73115.72423 diff=0.01145
iter=31 terr=0.19497 serr=0.74138 act=1017940 obj=72685.93758 diff=0.00588
iter=32 terr=0.19414 serr=0.74709 act=1017940 obj=72591.15501 diff=0.00130
iter=33 terr=0.19382 serr=0.74275 act=1017940 obj=71573.81109 diff=0.01401
iter=34 terr=0.19367 serr=0.74275 act=1017940 obj=71165.35822 diff=0.00571
iter=35 terr=0.19341 serr=0.74296 act=1017940 obj=70622.74733 diff=0.00762
iter=36 terr=0.19339 serr=0.74307 act=1017940 obj=70085.89404 diff=0.00760
iter=37 terr=0.19803 serr=0.74741 act=1017940 obj=70697.81172 diff=0.00873
iter=38 terr=0.19341 serr=0.74349 act=1017940 obj=69919.19342 diff=0.01101
iter=39 terr=0.19451 serr=0.74487 act=1017940 obj=69633.70745 diff=0.00408
iter=40 terr=0.19425 serr=0.74444 act=1017940 obj=69514.98219 diff=0.00170
iter=41 terr=0.19314 serr=0.74508 act=1017940 obj=69152.01878 diff=0.00522
iter=42 terr=0.19267 serr=0.74466 act=1017940 obj=68735.53845 diff=0.00602
